airport_icao,operation_hour_utc,observed_arrivals_count,unique_arrival_aircraft_count,observed_departures_count,unique_departure_aircraft_count,total_flights_observed,total_unique_aircraft_observed,weather_time_utc,temperature_2m_c,relative_humidity_2m_pct,precipitation_mm,wind_speed_10m_kmh,is_rainy_hour,is_high_wind_hour,is_high_traffic_hour
LEMD,2026-03-07 00:00:00+00:00,3,3,4,4,7,7,2026-03-07 00:00:00+00:00,8.8,74,0.1,17.2,True,False,False
LEMD,2026-03-07 01:00:00+00:00,1,1,1,1,2,2,2026-03-07 01:00:00+00:00,8.2,77,0.2,15.8,True,False,False
LEMD,2026-03-07 02:00:00+00:00,3,3,2,2,5,5,2026-03-07 02:00:00+00:00,7.8,79,0.3,14.0,True,False,False
LEMD,2026-03-07 03:00:00+00:00,10,10,2,2,12,12,2026-03-07 03:00:00+00:00,7.3,82,0.3,11.7,True,False,False
LEMD,2026-03-07 04:00:00+00:00,10,10,2,2,12,12,2026-03-07 04:00:00+00:00,7.1,80,0.0,10.2,False,False,False
LEMD,2026-03-07 05:00:00+00:00,6,6,25,25,31,31,2026-03-07 05:00:00+00:00,7.2,78,0.0,11.4,False,False,False
LEMD,2026-03-07 06:00:00+00:00,18,18,45,45,63,63,2026-03-07 06:00:00+00:00,7.3,78,0.1,11.2,True,False,False
LEMD,2026-03-07 07:00:00+00:00,27,27,20,20,47,47,2026-03-07 07:00:00+00:00,6.9,80,0.0,11.5,False,False,False
LEMD,2026-03-07 08:00:00+00:00,42,42,28,28,70,70,2026-03-07 08:00:00+00:00,8.3,75,0.0,14.0,False,False,True
LEMD,2026-03-07 09:00:00+00:00,50,50,38,38,88,88,2026-03-07 09:00:00+00:00,9.4,70,0.0,15.6,False,False,True
LEMD,2026-03-07 10:00:00+00:00,23,23,37,37,60,60,2026-03-07 10:00:00+00:00,9.3,72,0.1,14.7,True,False,False
LEMD,2026-03-07 11:00:00+00:00,32,32,43,43,75,75,2026-03-07 11:00:00+00:00,9.8,74,0.3,13.6,True,False,True
LEMD,2026-03-07 12:00:00+00:00,41,41,28,28,69,69,2026-03-07 12:00:00+00:00,8.6,90,0.3,10.0,True,False,True
LEMD,2026-03-07 13:00:00+00:00,45,45,15,15,60,60,2026-03-07 13:00:00+00:00,9.4,84,0.7,7.8,True,False,False
LEMD,2026-03-07 14:00:00+00:00,30,30,45,45,75,75,2026-03-07 14:00:00+00:00,10.6,74,0.1,5.4,True,False,True
LEMD,2026-03-07 15:00:00+00:00,18,18,57,57,75,75,2026-03-07 15:00:00+00:00,11.0,69,0.0,2.0,False,False,True
LEMD,2026-03-07 16:00:00+00:00,20,20,25,25,45,45,2026-03-07 16:00:00+00:00,11.1,65,0.1,3.1,True,False,False
LEMD,2026-03-07 17:00:00+00:00,39,39,21,21,60,60,2026-03-07 17:00:00+00:00,10.9,68,0.0,5.8,False,False,False
LEMD,2026-03-07 18:00:00+00:00,29,29,28,28,57,57,2026-03-07 18:00:00+00:00,9.3,81,0.0,4.7,False,False,False
LEMD,2026-03-07 19:00:00+00:00,26,26,36,36,62,62,2026-03-07 19:00:00+00:00,8.5,86,0.0,7.7,False,False,False
LEMD,2026-03-07 20:00:00+00:00,28,28,15,15,43,43,2026-03-07 20:00:00+00:00,7.8,87,0.0,6.6,False,False,False
LEMD,2026-03-07 21:00:00+00:00,36,36,14,14,50,50,2026-03-07 21:00:00+00:00,7.3,89,0.0,8.3,False,False,False
LEMD,2026-03-07 22:00:00+00:00,15,15,7,7,22,22,2026-03-07 22:00:00+00:00,6.4,90,0.0,9.4,False,False,False
LEMD,2026-03-07 23:00:00+00:00,5,5,10,10,15,15,2026-03-07 23:00:00+00:00,5.8,91,0.0,8.3,False,False,False
