airport_icao,weather_hour_utc,temperature_2m_c,relative_humidity_2m_pct,precipitation_mm,wind_speed_10m_kmh
LEPA,2026-03-07 00:00:00+00:00,12.3,78,0.0,15.9
LEPA,2026-03-07 01:00:00+00:00,12.5,76,0.0,15.0
LEPA,2026-03-07 02:00:00+00:00,12.8,74,0.0,18.2
LEPA,2026-03-07 03:00:00+00:00,12.8,75,0.0,17.4
LEPA,2026-03-07 04:00:00+00:00,12.5,76,0.0,14.1
LEPA,2026-03-07 05:00:00+00:00,12.4,77,0.0,10.6
LEPA,2026-03-07 06:00:00+00:00,10.8,87,0.0,3.0
LEPA,2026-03-07 07:00:00+00:00,10.9,86,0.0,11.5
LEPA,2026-03-07 08:00:00+00:00,12.1,82,0.2,8.0
LEPA,2026-03-07 09:00:00+00:00,11.9,93,0.8,13.0
LEPA,2026-03-07 10:00:00+00:00,11.4,91,1.4,14.0
LEPA,2026-03-07 11:00:00+00:00,11.4,91,1.1,10.4
LEPA,2026-03-07 12:00:00+00:00,10.9,85,1.9,3.4
LEPA,2026-03-07 13:00:00+00:00,11.6,82,0.4,3.3
LEPA,2026-03-07 14:00:00+00:00,13.3,74,0.1,8.4
LEPA,2026-03-07 15:00:00+00:00,13.4,74,0.0,13.1
LEPA,2026-03-07 16:00:00+00:00,13.7,75,0.0,12.1
LEPA,2026-03-07 17:00:00+00:00,12.9,77,0.0,10.3
LEPA,2026-03-07 18:00:00+00:00,11.4,85,0.0,8.9
LEPA,2026-03-07 19:00:00+00:00,10.6,90,0.1,11.3
LEPA,2026-03-07 20:00:00+00:00,10.3,90,0.0,10.6
LEPA,2026-03-07 21:00:00+00:00,9.9,92,0.0,7.1
LEPA,2026-03-07 22:00:00+00:00,9.2,92,0.0,7.5
LEPA,2026-03-07 23:00:00+00:00,8.8,93,0.0,7.6
